Ind,exp,cond,pop,sumNeo,sumNeoD,sumNeoNpop,sumNeoAS,size,sizeD,sizeNpop,sizeAS,adult,adultD,adultNpop,adultAS
12_4,H,control,EP,30,-4.957,36.123,1.167,3.428,-0.03,3.572,0.114,6,-0.217,6.717,0.5
12.5_1,H,control,EP,29,-5.957,35.123,0.167,3.189,-0.269,3.334,-0.124,5,-1.217,5.717,-0.5
13_2,H,control,EP,28,-6.957,34.123,-0.833,3.54,0.082,3.684,0.226,6,-0.217,6.717,0.5
13_3,H,control,EP,32,-2.957,38.123,3.167,3.26,-0.198,3.404,-0.054,5,-1.217,5.717,-0.5
13.5_1,H,control,EP,32,-2.957,38.123,3.167,3.265,-0.193,3.409,-0.049,5,-1.217,5.717,-0.5
0_2,H,LC,CWP,27,-7.583,39.417,4.833,3.003,-0.441,3.193,-0.251,9,2.792,9.542,3.333
0_4,H,LC,CWP,11,-23.583,23.417,-11.167,3.226,-0.218,3.416,-0.028,6,-0.208,6.542,0.333
1_2,H,LC,CWP,36,1.417,48.417,13.833,3.311,-0.133,3.501,0.057,6,-0.208,6.542,0.333
2.5_9,H,LC,CWP,11,-23.583,23.417,-11.167,3.137,-0.307,3.327,-0.117,11,4.792,,
2.5_11,H,LC,CWP,19,-15.583,31.417,-3.167,3.356,-0.088,3.546,0.102,8,1.792,8.542,2.333
3.5_1,H,LC,CWP,27,-7.583,39.417,4.833,3.141,-0.303,3.331,-0.113,6,-0.208,6.542,0.333
3.5_2,H,LC,CWP,28,-6.583,40.417,5.833,3.229,-0.215,3.419,-0.025,6,-0.208,6.542,0.333
6_3,H,LC,PP,12,-21.667,,,3.16,-0.283,3.257,-0.186,8,1.952,8.19,2.143
7_5,H,LC,PP,24,-9.667,31.952,-1.714,3.245,-0.198,3.342,-0.101,5,-1.048,5.19,-0.857
7.5_4,H,LC,PP,20,-13.667,27.952,-5.714,3.317,-0.126,3.414,-0.029,6,-0.048,6.19,0.143
9_20,H,LC,PP,25,-8.667,32.952,-0.714,3.358,-0.085,3.455,0.012,6,-0.048,6.19,0.143
9.5_1,H,LC,PP,27,-6.667,34.952,1.286,3.097,-0.346,3.194,-0.249,11,4.952,,
9.5_3,H,LC,PP,24,-9.667,31.952,-1.714,3.403,-0.04,3.5,0.057,6,-0.048,6.19,0.143
12_3,H,LC,EP,40,5.043,46.123,11.167,3.585,0.127,3.73,0.272,6,-0.217,6.717,0.5
12_4,H,LC,EP,13,-21.957,19.123,-15.833,3.554,0.096,3.699,0.241,6,-0.217,6.717,0.5
13_2,H,LC,EP,23,-11.957,29.123,-5.833,3.554,0.096,3.699,0.241,7,0.783,7.717,1.5
13_3,H,LC,EP,31,-3.957,37.123,2.167,3.275,-0.183,3.42,-0.038,6,-0.217,6.717,0.5
13.5_1,H,LC,EP,19,-15.957,25.123,-9.833,3.157,-0.301,3.302,-0.156,5,-1.217,5.717,-0.5
14.5_1,H,LC,EP,12,-22.957,18.123,-16.833,3.491,0.033,3.636,0.178,8,1.783,8.717,2.5
